CompanySymbol,Date,Close,Volume,Open,High,Low
TSLA,02/07/2025,$361.62,70298260,$370.19,$380.5459,$360.34
TSLA,02/06/2025,$374.32,77918230,$373.03,$375.40,$363.18
TSLA,02/05/2025,$378.17,57614720,$387.51,$388.39,$375.53
TSLA,02/04/2025,$392.21,57072240,$382.63,$394.00,$381.40
TSLA,02/03/2025,$383.68,93732120,$386.68,$389.17,$374.36
TSLA,01/31/2025,$404.60,83568220,$401.53,$419.99,$401.34
TSLA,01/30/2025,$400.28,98092880,$410.78,$412.50,$384.41
TSLA,01/29/2025,$389.10,68033650,$395.21,$398.5899,$384.48
TSLA,01/28/2025,$398.09,48910680,$396.91,$400.59,$386.50
TSLA,01/27/2025,$397.15,58125510,$394.80,$406.69,$389.00
TSLA,01/24/2025,$406.58,56427150,$414.45,$418.88,$405.78
TSLA,01/23/2025,$412.38,50690590,$416.06,$420.73,$408.95
TSLA,01/22/2025,$415.11,60963340,$416.81,$428.00,$414.59
TSLA,01/21/2025,$424.07,87320890,$432.64,$433.20,$406.31
TSLA,01/17/2025,$426.50,94991430,$421.50,$439.74,$419.75
TSLA,01/16/2025,$413.82,68335150,$423.49,$424.00,$409.13
TSLA,01/15/2025,$428.22,81375460,$409.90,$429.80,$405.661
TSLA,01/14/2025,$396.36,84565020,$414.34,$422.64,$394.54
TSLA,01/13/2025,$403.31,67580490,$383.21,$403.79,$380.07
TSLA,01/10/2025,$394.74,62287330,$391.40,$399.28,$377.29
TSLA,01/08/2025,$394.94,73038810,$392.95,$402.4999,$387.40
TSLA,01/07/2025,$394.36,75699530,$405.83,$414.33,$390.00
TSLA,01/06/2025,$411.05,85516530,$423.20,$426.43,$401.70
TSLA,01/03/2025,$410.44,95423330,$381.48,$411.8799,$379.45
TSLA,01/02/2025,$379.28,109710700,$390.10,$392.7299,$373.04
TSLA,12/31/2024,$403.84,76825120,$423.79,$427.93,$402.54
TSLA,12/30/2024,$417.41,64941010,$419.40,$427.00,$415.75
TSLA,12/27/2024,$431.66,82666820,$449.52,$450.00,$426.50
TSLA,12/26/2024,$454.13,76651210,$465.16,$465.3299,$451.02
TSLA,12/24/2024,$462.28,59551750,$435.90,$462.78,$435.14
TSLA,12/23/2024,$430.60,72698060,$431.00,$434.51,$415.4112
TSLA,12/20/2024,$421.06,132216200,$425.505,$447.08,$417.64
TSLA,12/19/2024,$436.17,118566100,$451.88,$456.36,$420.02
