CompanySymbol,Date,Close,Volume,Open,High,Low
WBD,02/07/2025,$10.16,22038710,$10.29,$10.42,$10.13
WBD,02/06/2025,$10.20,24431500,$10.31,$10.35,$9.96
WBD,02/05/2025,$10.19,22030180,$10.07,$10.20,$9.94
WBD,02/04/2025,$10.06,22142900,$10.14,$10.28,$9.97
WBD,02/03/2025,$10.16,27127410,$10.24,$10.255,$9.9348
WBD,01/31/2025,$10.44,33329650,$10.51,$10.84,$10.355
WBD,01/30/2025,$10.62,24757430,$10.629,$10.69,$10.395
WBD,01/29/2025,$10.43,22595180,$10.36,$10.60,$10.32
WBD,01/28/2025,$10.25,23483390,$10.47,$10.47,$10.15
WBD,01/27/2025,$10.49,27477550,$10.10,$10.555,$10.09
WBD,01/24/2025,$10.25,20389530,$10.34,$10.40,$10.16
WBD,01/23/2025,$10.28,27570580,$10.05,$10.29,$10.04
WBD,01/22/2025,$10.05,32349900,$9.77,$10.07,$9.73
WBD,01/21/2025,$9.77,25865650,$9.75,$9.925,$9.72
WBD,01/17/2025,$9.52,19899560,$9.63,$9.69,$9.50
WBD,01/16/2025,$9.47,20727440,$9.70,$9.73,$9.45
WBD,01/15/2025,$9.79,25539670,$10.02,$10.05,$9.73
WBD,01/14/2025,$9.73,29281260,$9.95,$10.03,$9.72
WBD,01/13/2025,$9.84,27065030,$9.655,$9.92,$9.585
WBD,01/10/2025,$9.70,33329580,$9.85,$9.86,$9.47
WBD,01/08/2025,$10.06,32849890,$10.51,$10.52,$9.88
WBD,01/07/2025,$10.51,27127300,$10.79,$10.87,$10.425
WBD,01/06/2025,$10.83,35200600,$10.70,$10.95,$10.52
WBD,01/03/2025,$10.57,17650600,$10.70,$10.76,$10.42
WBD,01/02/2025,$10.66,27073680,$10.66,$10.77,$10.49
WBD,12/31/2024,$10.57,20427410,$10.56,$10.77,$10.51
WBD,12/30/2024,$10.51,17814800,$10.52,$10.62,$10.315
WBD,12/27/2024,$10.61,16494390,$10.52,$10.65,$10.43
WBD,12/26/2024,$10.62,13569740,$10.47,$10.70,$10.36
WBD,12/24/2024,$10.55,8487132,$10.41,$10.60,$10.35
WBD,12/23/2024,$10.44,17355430,$10.64,$10.695,$10.39
WBD,12/20/2024,$10.69,52771190,$10.43,$10.79,$10.38
WBD,12/19/2024,$10.49,30391980,$10.70,$10.84,$10.42
WBD,12/18/2024,$10.63,36163230,$11.25,$11.35,$10.59
WBD,12/17/2024,$11.35,33243620,$11.44,$11.725,$11.215
WBD,12/16/2024,$11.60,30406340,$12.02,$12.167,$11.55
WBD,12/13/2024,$12.07,36587810,$12.315,$12.665,$11.99
WBD,12/12/2024,$12.49,84908790,$11.40,$12.70,$11.40
WBD,12/11/2024,$10.82,24134490,$10.91,$10.99,$10.72
WBD,12/10/2024,$10.89,29115000,$10.65,$11.05,$10.54
WBD,12/09/2024,$10.56,46974920,$10.80,$11.29,$10.52
WBD,12/06/2024,$10.66,20606950,$10.74,$10.82,$10.575
WBD,12/05/2024,$10.68,24541950,$10.63,$10.83,$10.6122
WBD,12/04/2024,$10.65,24335350,$10.51,$10.70,$10.44
WBD,12/03/2024,$10.55,21156690,$10.50,$10.5975,$10.37
WBD,12/02/2024,$10.56,25625780,$10.48,$10.61,$10.28
WBD,11/29/2024,$10.48,11576770,$10.40,$10.51,$10.305
WBD,11/27/2024,$10.38,26060090,$10.18,$10.47,$10.18
WBD,11/26/2024,$10.11,27346620,$10.35,$10.44,$10.07
WBD,11/25/2024,$10.40,40833570,$10.205,$10.46,$10.10
WBD,11/22/2024,$10.11,27340500,$10.23,$10.395,$10.085
WBD,11/21/2024,$10.23,38932170,$9.975,$10.30,$9.92
WBD,11/20/2024,$9.95,43428430,$9.51,$10.04,$9.455
WBD,11/19/2024,$9.50,32289280,$9.29,$9.59,$9.05
WBD,11/18/2024,$9.47,32338060,$9.445,$9.76,$9.36
WBD,11/15/2024,$9.22,37874620,$9.87,$9.875,$9.10
WBD,11/14/2024,$9.86,33526940,$9.74,$9.945,$9.71
WBD,11/13/2024,$9.72,46976900,$9.39,$9.89,$9.305
WBD,11/12/2024,$9.22,35222440,$9.26,$9.26,$9.08
WBD,11/11/2024,$9.33,39896820,$9.22,$9.545,$9.1516
WBD,11/08/2024,$9.18,52663440,$9.32,$9.33,$8.855
WBD,11/07/2024,$9.37,72314840,$9.02,$9.80,$8.83
WBD,11/06/2024,$8.38,44114640,$8.525,$8.59,$8.33
WBD,11/05/2024,$8.21,22988070,$8.15,$8.25,$8.03
WBD,11/04/2024,$8.17,28957360,$8.24,$8.408,$8.015
WBD,11/01/2024,$8.23,26744980,$8.03,$8.24,$7.98
WBD,10/31/2024,$8.13,47646380,$7.95,$8.35,$7.85
WBD,10/30/2024,$7.77,25756200,$7.52,$7.84,$7.50
WBD,10/29/2024,$7.55,16873920,$7.53,$7.705,$7.49
WBD,10/28/2024,$7.61,17452810,$7.675,$7.77,$7.575
WBD,10/25/2024,$7.60,19081770,$7.59,$7.785,$7.55
WBD,10/24/2024,$7.52,18620700,$7.35,$7.595,$7.35
WBD,10/23/2024,$7.33,23369290,$7.51,$7.545,$7.25
WBD,10/22/2024,$7.53,18291180,$7.55,$7.63,$7.52
WBD,10/21/2024,$7.55,28057140,$7.70,$7.873,$7.52
WBD,10/18/2024,$7.82,16790730,$7.78,$7.92,$7.7413
WBD,10/17/2024,$7.78,27109030,$7.95,$8.01,$7.65
WBD,10/16/2024,$8.00,24057980,$7.65,$8.03,$7.63
WBD,10/15/2024,$7.60,25360740,$7.53,$7.83,$7.515
WBD,10/14/2024,$7.54,19693550,$7.49,$7.57,$7.354
WBD,10/11/2024,$7.52,19385650,$7.58,$7.71,$7.51
WBD,10/10/2024,$7.54,21086730,$7.65,$7.70,$7.49
WBD,10/09/2024,$7.73,15583690,$7.68,$7.88,$7.64
WBD,10/08/2024,$7.72,21516450,$7.64,$7.77,$7.57
WBD,10/07/2024,$7.72,20677550,$7.70,$7.91,$7.63
WBD,10/04/2024,$7.78,21051970,$7.87,$7.99,$7.68
